time(micros),mv,led,gain,mvfiltered,mvestimated
3029240,34,0,Inf,34,0
3034792,34,0,Inf,34,0
3040352,34,0,Inf,33,0
3045904,34,0,Inf,33,0
3051456,34,0,Inf,34,0
3057016,34,0,Inf,34,0
3062568,39,0,Inf,35,0
3068128,34,0,Inf,35,0
3073680,34,0,Inf,35,0
3079240,34,0,Inf,35,0
3084792,34,0,Inf,35,0
3090344,34,0,Inf,34,0
3095904,39,0,Inf,35,0
3101456,34,0,Inf,35,0
3107016,34,0,Inf,35,0
3112568,34,0,Inf,35,0
3118124,34,0,Inf,35,0
3123680,34,0,Inf,34,0
3129232,34,0,Inf,34,0
3134792,29,0,Inf,33,0
3140344,29,0,Inf,32,0
3145904,39,0,Inf,33,0
3151456,39,0,Inf,34,0
3157012,34,0,Inf,34,0
3162568,34,0,Inf,35,0
3168120,34,0,Inf,36,0
3173680,39,0,Inf,36,0
3179232,34,0,Inf,35,0
3184792,34,0,Inf,35,0
3190344,34,0,Inf,35,0
3195896,34,0,Inf,35,0
3201456,39,0,Inf,35,0
3207008,34,0,Inf,35,0
3212568,34,0,Inf,35,0
3218120,34,0,Inf,35,0
3223680,39,0,Inf,36,0
3229232,34,0,Inf,35,0
3234784,39,0,Inf,36,0
3240344,34,0,Inf,36,0
3245896,34,0,Inf,36,0
3251456,39,0,Inf,36,0
3257008,34,0,Inf,36,0
3262568,39,0,Inf,36,0
3268120,34,0,Inf,36,0
3273672,39,0,Inf,37,0
3279232,34,0,Inf,36,0
3284784,34,0,Inf,36,0
3290344,39,0,Inf,36,0
3295896,34,0,Inf,36,0
3301456,29,0,Inf,34,0
3307008,34,0,Inf,34,0
3312560,34,0,Inf,34,0
3318120,34,0,Inf,33,0
3323672,34,0,Inf,33,0
3329232,34,0,Inf,34,0
3334784,39,0,Inf,35,0
3340344,34,0,Inf,35,0
3345896,34,0,Inf,35,0
3351448,39,0,Inf,36,0
3357008,34,0,Inf,36,0
3362560,39,0,Inf,36,0
3368120,39,0,Inf,37,0
3373672,34,0,Inf,37,0
3379228,34,0,Inf,36,0
3384784,34,0,Inf,36,0
3390336,39,0,Inf,36,0
3395896,29,0,Inf,34,0
3401448,34,0,Inf,34,0
3407008,29,0,Inf,33,0
3412560,39,0,Inf,34,0
3418112,34,0,Inf,33,0
3423672,34,0,Inf,34,0
3429224,34,0,Inf,34,0
3434784,39,0,Inf,36,0
3440336,34,0,Inf,35,0
3445896,34,0,Inf,35,0
3451448,34,0,Inf,35,0
3457000,34,0,Inf,35,0
3462560,34,0,Inf,34,0
3468112,34,0,Inf,34,0
3473672,34,0,Inf,34,0
3479224,39,0,Inf,35,0
3484784,39,0,Inf,36,0
3490336,34,0,Inf,36,0
3495888,29,0,Inf,35,0
3501448,34,0,Inf,35,0
3507000,34,0,Inf,34,0
3512560,39,0,Inf,34,0
3518112,34,0,Inf,34,0
3523672,29,0,Inf,34,0
3529224,34,0,Inf,34,0
3534776,34,0,Inf,34,0
3540336,34,0,Inf,33,0
3545888,29,0,Inf,32,0
3551448,34,0,Inf,33,0
3557000,39,0,Inf,34,0
3562560,34,0,Inf,34,0
3568112,34,0,Inf,34,0
3573664,34,0,Inf,35,0
3579224,34,0,Inf,35,0
3584776,29,0,Inf,33,0
3590336,29,0,Inf,32,0
3595888,34,0,Inf,32,0
3601444,34,0,Inf,32,0
3607000,34,0,Inf,32,0
3612552,34,0,Inf,33,0
3618112,34,0,Inf,34,0
3623664,39,0,Inf,35,0
3629224,34,0,Inf,35,0
3634776,29,0,Inf,34,0
3640332,34,0,Inf,34,0
3645888,29,0,Inf,33,0
3651440,34,0,Inf,32,0
3657000,34,0,Inf,32,0
3662552,34,0,Inf,33,0
3668112,34,0,Inf,33,0
3673664,34,0,Inf,34,0
3679216,34,0,Inf,34,0
3684776,34,0,Inf,34,0
3690328,34,0,Inf,34,0
3695888,34,0,Inf,34,0
3701440,34,0,Inf,34,0
3707000,34,0,Inf,34,0
3712552,34,0,Inf,34,0
3718104,34,0,Inf,34,0
3723664,39,0,Inf,35,0
3729216,34,0,Inf,35,0
3734776,29,0,Inf,34,0
3740328,34,0,Inf,34,0
3745888,34,0,Inf,34,0
3751440,39,0,Inf,34,0
3756992,29,0,Inf,33,0
3762552,34,0,Inf,34,0
3768104,34,0,Inf,34,0
3773664,34,0,Inf,34,0
3779216,34,0,Inf,33,0
3784776,34,0,Inf,34,0
3790328,39,0,Inf,35,0
3795880,34,0,Inf,35,0
3801440,39,0,Inf,36,0
3806992,34,0,Inf,36,0
3812552,34,0,Inf,36,0
3818104,34,0,Inf,35,0
3823660,34,0,Inf,35,0
3829216,34,0,Inf,34,0
3834768,29,0,Inf,33,0
3840328,34,0,Inf,33,0
3845880,29,0,Inf,32,0
3851440,39,0,Inf,33,0
3856992,34,0,Inf,33,0
3862548,39,0,Inf,35,0
3868104,34,0,Inf,35,0
3873656,39,0,Inf,37,0
3879216,29,0,Inf,35,0
3884768,29,0,Inf,34,0
3890328,34,0,Inf,33,0
3895880,34,0,Inf,33,0
3901432,34,0,Inf,32,0
3906992,34,0,Inf,33,0
3912544,39,0,Inf,35,0
3918104,34,0,Inf,35,0
3923656,34,0,Inf,35,0
3929216,29,0,Inf,34,0
3934768,29,0,Inf,33,0
3940320,34,0,Inf,32,0
3945880,34,0,Inf,32,0
3951432,34,0,Inf,32,0
3956992,34,0,Inf,33,0
3962544,34,0,Inf,34,0
3968104,34,0,Inf,34,0
3973656,34,0,Inf,34,0
3979208,34,0,Inf,34,0
3984768,34,0,Inf,34,0
3990320,34,0,Inf,34,0
3995880,34,0,Inf,34,0
4001432,34,0,Inf,34,0
4006992,29,0,Inf,33,0
4012544,39,0,Inf,34,0
4018096,34,0,Inf,34,0
4023656,29,0,Inf,33,0
4029208,34,0,Inf,33,0
4034768,39,0,Inf,35,0
4040320,39,0,Inf,35,0
4045880,34,0,Inf,35,0
4051432,34,0,Inf,36,0
4056984,34,0,Inf,36,0
4062544,34,0,Inf,35,0
4068096,34,0,Inf,34,0
4073656,34,0,Inf,34,0
4079208,34,0,Inf,34,0
4084768,29,0,Inf,33,0
4090320,34,0,Inf,33,0
4095872,29,0,Inf,32,0
4101432,34,0,Inf,32,0
4106984,34,0,Inf,32,0
4112552,34,0,Inf,33,0
4118104,34,0,Inf,33,0
4123660,29,0,Inf,33,0
4129216,34,0,Inf,33,0
4134768,39,0,Inf,34,0
4140328,39,0,Inf,35,0
4145880,34,0,Inf,35,0
4151440,34,0,Inf,36,0
4156992,34,0,Inf,36,0
4162544,34,0,Inf,35,0
4168104,34,0,Inf,34,0
4173656,29,0,Inf,33,0
4179216,34,0,Inf,33,0
4184768,34,0,Inf,33,0
4190328,29,0,Inf,32,0
4195880,34,0,Inf,32,0
4201432,34,0,Inf,33,0
